Habitat,Location,Latitude,Longitude,Year,Reference
Mangrove,"West Bengal,India",21.820564,88.425925,1989,"Lewis III R (1999) Key concepts in successful ecological restoration of mangrove forests. In: Proceedings of the TCE-Workshop No. II, Coastal Environmental Improvement in Mangrove/Wetland Ecosystems, 18-23 August 1998, Ranong, Thailand. Danish-SE Asian Collaboration in Tropical Coastal Ecosystems (TCE) Research and Training., NACA, P.O. Box 1040, Bangkok, Thailand, p 12ñ32"
Mangrove,"Surat Thani,Thailand",9.204851,99.347928,1996,"Lewis III R (2001) Mangrove restoration - costs and benefits of successful ecological restoration. In: Proceedings of the Mangrove Valuation Workshop, Universiti Sains Malaysia, Penang, 4-8 April, 2001. Beijer International Institute of Ecological Economics, Stockholm, Sweden, p 1ñ18"
Mangrove,Thailand,9.485083,98.667156,1996,"Lewis III R (2001) Mangrove restoration - costs and benefits of successful ecological restoration. In: Proceedings of the Mangrove Valuation Workshop, Universiti Sains Malaysia, Penang, 4-8 April, 2001. Beijer International Institute of Ecological Economics, Stockholm, Sweden, p 1ñ18"
Mangrove,"Tampa Bay, Florida,USA",27.608412,-82.562786,1999,"Lewis III R, Hodgson A, Mauseth G (2005) Project facilitates the natural reseeding of mangrove forests (Florida). Ecol Restor 23:276ñ277"
Mangrove,"Cross Bayou, Pinellas County, Tampa Bay, Florida,USA",27.790985,-82.625454,1999,"Lewis III R, Hodgson A, Mauseth G (2005) Project facilitates the natural reseeding of mangrove forests (Florida). Ecol Restor 23:276ñ277"
Mangrove,"Don Sak National,Forest Reserve, Surat Thani,Thailand",9.300611,99.693818,1998,"Lewis III R, Phillips M, Clough B, Macintosh D (2003) Thematic review on coastal wetland habitats and shrimp aquaculture. Report prepared under the World Bank, NACA, WWF and FAO. Consortium program on shrimp farming and the environment"
Mangrove,"Florida and Texas,USA",30.646181,-85.909621,1994,"Lewis III R, Phillips M, Clough B, Macintosh D (2003) Thematic review on coastal wetland habitats and shrimp aquaculture. Report prepared under the World Bank, NACA, WWF and FAO. Consortium program on shrimp farming and the environment"
Mangrove,"Pattani,Thailand",6.875303,101.307165,1998,"Lewis III R, Phillips M, Clough B, Macintosh D (2003) Thematic review on coastal wetland habitats and shrimp aquaculture. Report prepared under the World Bank, NACA, WWF and FAO. Consortium program on shrimp farming and the environment"
Mangrove,"Red River Delta,Vietnam",20.351559,106.309689,2000,"Lewis III R, Phillips M, Clough B, Macintosh D (2003) Thematic review on coastal wetland habitats and shrimp aquaculture. Report prepared under the World Bank, NACA, WWF and FAO. Consortium program on shrimp farming and the environment"
Mangrove,"Mekong Delta,Vietnam",9.839872,106.027402,1998,"Lewis III R, Phillips M, Clough B, Macintosh D (2003) Thematic review on coastal wetland habitats and shrimp aquaculture. Report prepared under the World Bank, NACA, WWF and FAO. Consortium program on shrimp farming and the environment"
Mangrove,"Thong Nian sub-district, Khanom district, Nakorn Sri,Thammarat province,Thailand",9.295154,99.813182,1999,"Matsui N, Suekuni J, Nogami M, Havanond S, Salikul P (2010) Mangrove rehabilitation dynamics and soil organic carbon changes as a result of full hydraulic restoration and re-grading of a previously intensively managed shrimp pond. Wetl Ecol Manag 18:233-242"
Mangrove,"Thong Nian sub-district, Khanom district, Nakorn Sri,Thailand Thammarat province",9.295154,99.813182,1999,"Matsui N, Suekuni J, Nogami M, Havanond S, Salikul P (2010) Mangrove rehabilitation dynamics and soil organic carbon changes as a result of full hydraulic restoration and re-grading of a previously intensively managed shrimp pond. Wetl Ecol Manag 18:233-242"
Mangrove,"North end of Key Biscayne, Florida,USA",25.713077,-80.160793,1996,Milano G (1999) Restoration of coastal wetlands in southeastern Florida. Wetl J 11:15ñ24
Mangrove,"South end of Key Biscayne, Florida,USA",25.670819,-80.157829,1999,Milano G (1999) Restoration of coastal wetlands in southeastern Florida. Wetl J 11:15ñ24
Mangrove,"North Miami, Florida,USA",25.918228,-80.131176,1995,Milano G (1999) Restoration of coastal wetlands in southeastern Florida. Wetl J 11:15ñ24
Mangrove,"North Miami, Florida,USA",25.918228,-80.131176,1999,Milano G (1999) Restoration of coastal wetlands in southeastern Florida. Wetl J 11:15ñ24
Mangrove,"Miami, Florida, USA",25.918228,-80.131176,1990,Milano G (1999) Restoration of coastal wetlands in southeastern Florida. Wetl J 11:15ñ24
Mangrove,"North side of the Oleta River, North Miami Beach, Florida,USA",25.945091,-80.128261,1999,Milano G (1999) Restoration of coastal wetlands in southeastern Florida. Wetl J 11:15ñ24
Mangrove,"Immediately south of the Oleta River, west side of Intra-coastal Waterway, North Miami, Florida,USA",25.770372,-80.18391,1990,Milano G (1999) Restoration of coastal wetlands in southeastern Florida. Wetl J 11:15ñ24
Mangrove,"Chicken Key, located in the Biscayne Bay Aquatic Preserve, south Biscayne Bay, Miami-Dade, Florida,USA",25.387947,-80.321748,1997,Milano G (1999) Restoration of coastal wetlands in southeastern Florida. Wetl J 11:15ñ24
Mangrove,"Carey Island,Malaysia",2.835214,101.341177,2009,"Motamedi S, Hashim R, Zakaria R, Song KI, Sofawi B (2014) Long-term assessment of an innovative mangrove rehabilitation project: Case study on Carey Island, Malaysia. Sci World J 2014"
Mangrove,USA,38.95643,-76.578969,1991,"NOAA (1996) Primary restoration. Guidance document for natural resource damage assessment under the Oil Pollution Act of 1990. National Oceanic and Atmospheric Administration, Damage Assessment and Restoration Program, Silver Springs, MD"
Mangrove,Philippines,14.570081,120.987476,2003,"Primavera J, Esteban J (2008) A review of mangrove rehabilitation in the Philippines: successes, failures and future prospects. Wetl Ecol Manag 16:345ñ358"
Mangrove,"New Buswang, Kalibo, Aklan,Philippines",11.712554,122.385182,1989,"Primavera J, Esteban J (2008) A review of mangrove rehabilitation in the Philippines: successes, failures and future prospects. Wetl Ecol Manag 16:345ñ358"
Mangrove,"Central Visayas,Philippines",10.341307,123.937346,1984,"Primavera J, Esteban J (2008) A review of mangrove rehabilitation in the Philippines: successes, failures and future prospects. Wetl Ecol Manag 16:345ñ358"
Mangrove,Philippines,14.570081,120.987476,1993,"Primavera J, Esteban J (2008) A review of mangrove rehabilitation in the Philippines: successes, failures and future prospects. Wetl Ecol Manag 16:345ñ358"
Mangrove,Philippines,14.570081,120.987476,1990,"Primavera J, Esteban J (2008) A review of mangrove rehabilitation in the Philippines: successes, failures and future prospects. Wetl Ecol Manag 16:345ñ358"
Mangrove,Philippines,14.570081,120.987476,1999,"Primavera J, Esteban J (2008) A review of mangrove rehabilitation in the Philippines: successes, failures and future prospects. Wetl Ecol Manag 16:345ñ358"
Mangrove,"Magallanes in,Agusan del Norte, Northern Mindanao,Philippines",8.984326,125.478341,2003,"Primavera J, Esteban J (2008) A review of mangrove rehabilitation in the Philippines: successes, failures and future prospects. Wetl Ecol Manag 16:345ñ358"
Mangrove,"Iloilo River,Philippines",10.696452,122.574477,2003,"Primavera J, Esteban J (2008) A review of mangrove rehabilitation in the Philippines: successes, failures and future prospects. Wetl Ecol Manag 16:345ñ358"
Mangrove,"Ermita, Dumangas,Philippines",10.797987,122.675855,2003,"Primavera J, Esteban J (2008) A review of mangrove rehabilitation in the Philippines: successes, failures and future prospects. Wetl Ecol Manag 16:345ñ358"
Mangrove,"Banacon,Philippines",10.19728,124.181232,2003,"Primavera J, Esteban J (2008) A review of mangrove rehabilitation in the Philippines: successes, failures and future prospects. Wetl Ecol Manag 16:345ñ358"
Mangrove,"Jolo,Philippines",6.071735,121.014265,2003,"Primavera J, Esteban J (2008) A review of mangrove rehabilitation in the Philippines: successes, failures and future prospects. Wetl Ecol Manag 16:345ñ358"
Mangrove,"Central Visayas,Philippines",10.341307,123.937346,2003,"Primavera J, Esteban J (2008) A review of mangrove rehabilitation in the Philippines: successes, failures and future prospects. Wetl Ecol Manag 16:345ñ358"
Mangrove,"Central Visayas,Philippines",10.341307,123.937346,1986,"Primavera J, Esteban J (2008) A review of mangrove rehabilitation in the Philippines: successes, failures and future prospects. Wetl Ecol Manag 16:345ñ358"
Mangrove,"various,v",14.570081,120.987476,2003,"Primavera J, Esteban J (2008) A review of mangrove rehabilitation in the Philippines: successes, failures and future prospects. Wetl Ecol Manag 16:345ñ358"
Mangrove,"Palawan,Philippines",14.570081,120.987476,2003,"Primavera J, Esteban J (2008) A review of mangrove rehabilitation in the Philippines: successes, failures and future prospects. Wetl Ecol Manag 16:345ñ358"
Mangrove,"Surigao del Sur,Philippines",14.570081,120.987476,2003,"Primavera J, Esteban J (2008) A review of mangrove rehabilitation in the Philippines: successes, failures and future prospects. Wetl Ecol Manag 16:345ñ358"
Mangrove,Philippines,14.570081,120.987476,2009,"Primavera J, Savaris J, Bajoyo B, Coching J, Curnick D, Golbeque R, Guzman A, Henderin J, Joven R, Loma R, Koldewey H (2012) Manual on community-based mangrove rehabilitation ñ Mangrove Manual Series No. 1. Zoological Society of London, London, UK"
Mangrove,Philippines,14.570081,120.987476,2009,"Primavera J, Savaris J, Bajoyo B, Coching J, Curnick D, Golbeque R, Guzman A, Henderin J, Joven R, Loma R, Koldewey H (2012) Manual on community-based mangrove rehabilitation ñ Mangrove Manual Series No. 1. Zoological Society of London, London, UK"
Mangrove,"Naples Bay, Florida,USA",26.122651,-81.791051,1989,"Proffitt CE, Devlin DJ (2005) Long-term growth and succession in restored and natural mangrove forests in southwestern Florida. Wetl Ecol Manag 13:531-551"
Mangrove,"Naples Bay, Florida,USA",26.122651,-81.791051,1982,"Proffitt CE, Devlin DJ (2005) Long-term growth and succession in restored and natural mangrove forests in southwestern Florida. Wetl Ecol Manag 13:531-551"
Mangrove,"Wallum Creek, North Stradbroke Island, Queensland, Australia",-27.405714,153.440351,1979,"Quinn R, Beumer J (1984) Wallum Creek - a study of the regeneration of mangroves. In: Coleman R, Covacevich J, Davie P (eds) Focus on Stradbroke. Boolarong Press, Brisbane, Australia, p 238ñ249"
Mangrove,"International Airport Brisbane,Australia",-27.408761,153.13214,1980,"Saenger P (1996) Mangrove restoration in Australia: a case study of Brisbane International Airport. In: Field C (ed) Restoration of mangrove ecosystems. International Tropical Timber Organization, International Society for Mangrove Ecosystems, Okinawa, Japan, p 36ñ51"
Mangrove,Philippines,14.570081,120.987476,1988,"Samson M, Rollon R (2008) Growth performance of planted mangroves in the Philippines: revisiting forest management strategies. Ambio 37:234ñ240"
Mangrove,"Tha Po Village, Surat Thani,Thailand",9.15487,99.389516,1996,"Sathirathai S, Barbier E (2001) Valuing mangrove conservation in Southern Thailand. Contemp Econ Policy 19:109ñ122"
Mangrove,"Muisne, Esmeraldas,Ecuador",0.612026,-80.019886,2003,"Society for Ecological Restoration. 2007. Ecuador: Mangrove Restoration in Muisne; Source: http://www.globalrestorationnetwork.org/database/case-study/?id=50; FundaciÛn de Defensa EcolÛgica (FUNDECOL), Ecuador; Critical Ecosystem Partnership Fund (CEPF), United States"
Mangrove,"Andhra Pradesh, east coast of India",14.862312,80.050178,1997,Society for Ecological Restoration. 2007. India: Mangrove Restoration in Andhra Pradesh; Source: http://www.globalrestorationnetwork.org/database/case-study/?id=60; M.S. Swaminathan Research Foundation; India-Canada Environment Facility
Mangrove,Mauritius,-20.340649,57.73976,1995,Society for Ecological Restoration. 2007. Mauritius: Mangrove Restoration; Source: http://www.globalrestorationnetwork.org/database/case-study/?id=77; Albion Fisheries Research Centre; Republic of Mauritius Ministry of Fisheries
Mangrove,"Culebra Island,Puerto Rico",18.301043,-65.291877,1993,Society for Ecological Restoration. 2007. Puerto Rico: Culebra Island: Puerto del Manglar Red Mangrove Restoration; Source: http://www.globalrestorationnetwork.org/database/case-study/?id=68; U.S. Fish and Wildlife Service
Mangrove," Anping Harbor, Tainan City,Taiwan",22.973658,120.174772,1998,"Society for Ecological Restoration. 2007. Taiwan: Anping Harbor Mangrove Restoration Project at Tainan City; Source: http://www.globalrestorationnetwork.org/database/case-study/?id=47; National Pingtung University of Science and Technology, Deptment of Foresty"
Mangrove,"Pattani Bay,Thailand",6.877548,101.317666,1996,Society for Ecological Restoration. 2007. Thailand: Participation of Local Communities in Mangrove Forest Rehabilitation (Pattani Bay); Source: http://www.globalrestorationnetwork.org/database/case-study/?id=54; Wetlands International-Thailand Office
Mangrove,"West Lake (Broward County), Florida,USA",26.036871,-80.121533,1986,"Society for Ecological Restoration. 2007. USA: Florida: Mangrove Restoration at West Lake (Broward County); Source: http://www.globalrestorationnetwork.org/database/case-study/?id=63; Roy R. ""Robin"" Lewis III, Professional Wetland Scientist, Certified Senior Ecologist, Ecological Society of America"
Mangrove,"Matheson Hammock Park, Biscayne Bay, Florida,USA",25.679092,-80.256527,2001,Society for Ecological Restoration. 2007. USA: Florida: Matheson Hammock Tidal Creek Restoration (Biscayne Bay); Source: http://www.globalrestorationnetwork.org/database/case-study/?id=55; National Oceanic & Atmospheric Association (NOAA)
Mangrove,"La Restinga, Laguna de Tacarigua National Park, Margarita Island,Venezuela",10.982592,-64.150461,2004,"Society for Ecological Restoration. 2007. Venezuela: Mangrove Restoration in Laguna de la Restinga National Park (Margarita Island); Source: http://www.globalrestorationnetwork.org/database/case-study/?id=31; Jon Paul RodrÌguez, Project Director; Edgar Villarroel Instituto Nacional de Parques (INPARQUES)"
Mangrove,"CiÈnaga Grande de Santa Marta,Colombia",10.861539,-74.392873,1993,Society for Ecological Restoration. 2008. Colombia: RehabilitaciÛn de Bosques de Manglar en la CiÈnaga Grande de Santa Marta; Source: http://www.globalrestorationnetwork.org/database/case-study/?id=232; CorporaciÛn AutÛnoma Regional de Magdalena (CORPAMAG)
Mangrove,"Laguna de Balandra, Baja California Sur,Mexico",24.322533,-110.325999,1994,"Society for Ecological Restoration. 2008. Mexico: Black Mangrove Restoration at Laguna de Balandra, Baja California Sur; Source: http://www.globalrestorationnetwork.org/database/case-study/?id=221; Yoav Bashan"
Mangrove,"Port Everglades, Fort Lauderdale, Florida,USA",26.09398,-80.121231,1984,"Sosnow A (1986) Mitigation for port dredging. In: Webb FJ (ed) Proceedings of the 13th Annual Conference on Wetlands Restoration and Creation, May 15-16, 1986.p 172ñ179"
Mangrove,USA,26.09398,-80.121231,1994,Spurgeon J (1999) The socio-economic costs and benefits of coastal habitat rehabilitation and creation. Mar Pollut Bull 37:373ñ382
Mangrove,Puerto Rico,18.301043,-65.291877,1994,Spurgeon J (1999) The socio-economic costs and benefits of coastal habitat rehabilitation and creation. Mar Pollut Bull 37:373ñ382
Mangrove,"Samut Songkram,Thailand",13.31398,100.011588,1994,"Stevenson N, Lewis III R, Burbridge P (1999) Disused shrimp ponds and mangrove rehabilitation. In: Streever W (ed) An International Perspective on Wetland Rehabilitation. Kluwer Academic Publishers, The Netherlands, p 277ñ297"
Mangrove,"Long Key in the Dry Tortugas Islands, south-westcoast of Florida,USA",24.629317,-82.873052,1972,Teas H (1977) Ecology and restoration of mangrove shorelines in Florida. Environ Conserv 4:51ñ58
Mangrove,"Tampa area of Florida,USA",27.938571,-82.469453,1972,Teas H (1977) Ecology and restoration of mangrove shorelines in Florida. Environ Conserv 4:51ñ58
Mangrove,North Fork of the St Lucie River and within Charlotte Harbor on the west coast of Florida,27.233945,-80.315789,1972,Teas H (1977) Ecology and restoration of mangrove shorelines in Florida. Environ Conserv 4:51ñ58
Mangrove,"Charlotte Harbor, Florida,USA",27.233945,-80.315789,1976,Teas H (1977) Ecology and restoration of mangrove shorelines in Florida. Environ Conserv 4:51ñ58
Mangrove,"southern Florida,USA",25.315564,-80.552795,1972,Teas H (1977) Ecology and restoration of mangrove shorelines in Florida. Environ Conserv 4:51ñ58
Mangrove,"Roberts Bay at Marco Island, Florida,USA",25.919715,-81.701173,1972,Teas H (1977) Ecology and restoration of mangrove shorelines in Florida. Environ Conserv 4:51ñ58
Mangrove,"Jensen Beach, east coast of Florida,USA",27.2524,-80.228298,1972,Teas H (1977) Ecology and restoration of mangrove shorelines in Florida. Environ Conserv 4:51ñ58
Mangrove,"Jensen Beach, east coast of Florida,USA",27.2524,-80.228298,1972,Teas H (1977) Ecology and restoration of mangrove shorelines in Florida. Environ Conserv 4:51ñ58
Mangrove,"north Biscayne Bay, Julia Tuttle Causeway, Florida",25.813293,-80.185549,1972,Teas H (1977) Ecology and restoration of mangrove shorelines in Florida. Environ Conserv 4:51ñ58
Mangrove,"Miami, Florida,USA",25.813293,-80.185549,1972,Teas H (1977) Ecology and restoration of mangrove shorelines in Florida. Environ Conserv 4:51ñ58
Mangrove,"Florida, USA",25.269131,-80.767402,1972,Teas H (1977) Ecology and restoration of mangrove shorelines in Florida. Environ Conserv 4:51ñ58
Mangrove,"Cativa Bay,Panama",9.363212,-79.802987,1986,"Teas HJ, Lasday AH, Luque L E, Morales RA, De Diego ME, Baker JM (1989) Mangrove restoration after the 1986 Refineria Panama oil spill. Proc 1989 International Oil Spill Conference, IOSC 1989"
Mangrove,"Power Plant Island, Cativa Bay,Panama",9.392672,-79.850724,1986,"Teas HJ, Lasday AH, Luque L E, Morales RA, De Diego ME, Baker JM (1989) Mangrove restoration after the 1986 Refineria Panama oil spill. Proc 1989 International Oil Spill Conference, IOSC 1989"
Mangrove,"Laguna de Balandra, Baja California Sur,Mexico",24.322533,-110.325999,1994,"Toledo G, Rojas A, Bashan Y (2001) Monitoring of black mangrove restoration with nursery-reared seedlings on an arid coastal lagoon. Hydrobiologia 444:101-109"
Mangrove,"Thi Nai Lagoon,Vietnam",13.842383,109.219744,2012,"Tuan T, Tinh B (2013) Costñbenefit analysis of mangrove restoration in Thi Nai Lagoon, Quy Nhon City, Vietnam. International Institute for Environment and Development, London"
Mangrove,"Thi Nai Lagoon,Vietnam",13.842383,109.219744,2009,"Tuan TH, My NHD, Anh LTQ, Toan NV (2014) Using contingent valuation method to estimate the WTP for mangrove restoration under the context of climate change: A case study of Thi Nai lagoon, Quy Nhon city, Vietnam. Ocean Coastal Manage 95:198-212"
Mangrove,"at the mouth of the Aklan River, in the Aklan province of Western Visayas, Panay Island,Philippines",11.320909,122.537274,2004,"Walton M, Samonte-Tan G, Primavera J, Edwards-Jones G, Vay L Le (2006) Are mangroves worth replanting? The direct economic benefits of a community-based reforestation project. Environ Conserv 33:335ñ343"
Mangrove,Southeast Florida and Florida Keys RRR Demo Site,25.7631,-80.167778,2012,http://projects.tnc.org/coastal
Mangrove,Mustang Island,27.7,-97.165,2014,http://projects.tnc.org/coastal
Mangrove,"Jinjiang Estuary,China",24.856667,118.634722,2014,"Honglei Chen,Haitao Su,Peiyong Guo,Xiaobiao Shen,Jun Deng,Yuxuan Zhang,Yanmei Wu &Yanqi Li., Effects of planting patterns on heavy metals (Cd, As) in soils following mangrove wetlands restoration"
Mangrove,"Jinjiang Estuary,China",24.861389,118.638889,2014,"Honglei Chen,Haitao Su,Peiyong Guo,Xiaobiao Shen,Jun Deng,Yuxuan Zhang,Yanmei Wu &Yanqi Li., Effects of planting patterns on heavy metals (Cd, As) in soils following mangrove wetlands restoration"
Mangrove,China,20.933333,110.15,2014,"JianxiangFeng,Xiaowei Cui,Jian Zhou,Liming Wang,Xiaoshan Zhu,Guanghui Lin., Effects of exotic and native mangrove forests plantation on soil organic carbon, nitrogen, and phosphorus contents and pools in Leizhou, China"
Mangrove,"Lubuk Kertang,Indonesia",4.081529,98.311078,2015,"M Basyuni1 , MA Harahap1 , R Wati1 , B Slmaet1 , AS Thoha1 , A Nuryawan1 , LAP Putri2 ., Evaluation of mangrove reforestation and the impact to socioeconomic- cultural of community in Lubuk Kertang village, North Sumatra"
Mangrove,"Pulau Sembilan, Indonesia",4.144203,98.23205,2014,"M Basyuni1 , MA Harahap1 , R Wati1 , B Slmaet1 , AS Thoha1 , A Nuryawan1 , LAP Putri2., ""Evaluation of Rhizophora Mucronata Growth at first-year Mangrove Restoration at Abandoned Ponds, Langkat, North SumatraMangrove,Thambalangama"
Mangrove,"Batticaloa, Sri Lanka",7.66666667,81.7166667,2007,"Kodikara Arachchilage Sunanda Kodikara , Nibedita Mukherjee, Loku Pullukuttige Jayatissa , Farid Dahdouh‐Guebas , Nico Koedam., Have mangrove restoration projects worked? An in‐depth study in Sri Lanka"
Mangrove,"Komari, Sri Lanka",6.96666667,81.85,2007,"Kodikara Arachchilage Sunanda Kodikara , Nibedita Mukherjee, Loku Pullukuttige Jayatissa , Farid Dahdouh‐Guebas , Nico Koedam., Have mangrove restoration projects worked? An in‐depth study in Sri Lanka"
Mangrove,"Palandi, Sri Lanka",6.91666667,81.85,2007,"Kodikara Arachchilage Sunanda Kodikara , Nibedita Mukherjee, Loku Pullukuttige Jayatissa , Farid Dahdouh‐Guebas , Nico Koedam., Have mangrove restoration projects worked? An in‐depth study in Sri Lanka"
