Company,companyName (linkedin),companyUrl (linkedin),activityArea (linkedin),confidence (linkedin),search company status,Company name (linkedin),Company universalName (linkedin),Company website (linkedin),Company linkedin url (linkedin),Company founded on (linkedin),Company tagline (linkedin),Company staff count range (linkedin),Company staff (linkedin),Company phone number (linkedin),Company country (linkedin),Company geographic area (linkedin),Company city (linkedin),Company postal code (linkedin),Company street address (linkedin),Company id (linkedin),Company associated hashtags (linkedin),Company industries (linkedin),Company specialities (linkedin),Company description (linkedin),Company followers (linkedin),Company funding rounds (linkedin),Company last funding money raised (linkedin),Company last funding announced on (linkedin),enrich companies status
Univ Texas Austin,,,,,Not found,,,,,,,,,,,,,,,,,,,,,,,,
Fearless Carbon,,,,,Not found,,,,,,,,,,,,,,,,,,,,,,,,
First Gigaton,,,,,Not found,,,,,2021,,,,,,,,,,,,,,,,,,,
King Tide Carbon,king tide carbon pte. ltd,https://www.linkedin.com/company/94283384,Environmental Quality Programs,1,Found,King Tide Carbon PTE. LTD,kingtide-carbon,https://www.kingtidecarbon.com/,https://www.linkedin.com/company/kingtide-carbon,2023,King Tide is a biosynthetic algae & seaweed carbon sequestration as-a-service company.,10-Feb,1,,,,,,,94283384,"kingtidecarbon, carbonsequester, carbonneutral",Government Administration,,"King Tide is a biosynthetic algae & seaweed carbon sequestration as-a-service company with a mission to produce biosynthetic based climate-positive biomass in the ocean to deliver a sustainable, scalable and high quality carbon credit with certainty of supply to support the developed world commitment to net zero carbon by 2050.",32,,,,Found
Pull to Refresh,pull to refresh inc.,https://www.linkedin.com/company/74094167,Environmental Services,0.5,Found,Pull To Refresh Inc.,pulltorefresh,https://pulltorefresh.earth,https://www.linkedin.com/company/pulltorefresh,2021,Carbon removal with BoatBots that sink seaweed,10-Feb,4,,US,CA,San Francisco,94102,,74094167,"carbonremoval, oceantechnology, climatesolutions",Environmental Services,"Robotics, Composites, Biomass, Carbon Removal, Seaweed, Climate, Oceans, sargassum, invasive seaweed, VIAM, Unity, AI","Invasive seaweed is clogging sea lanes and disrupting the hospitality industry across the Caribbean. When large amounts of this seaweed hit coastal communities, they cause both ecological and economic damage.

We are developing BoatBots to intercept and sink this invasive seaweed before it reaches the shore. This will protect coral reefs, sea turtles, and native seaweed habitats, while also preserving the beauty of beaches that attract tourists—an essential source of income for local economies.

By sinking the seaweed to sufficient depths, we effectively lock away carbon for centuries, helping to mitigate climate change by reducing the overall CO2 in the atmosphere and its contribution to the greenhouse effect.

With $25,000 in angel investment and a pilot pre-sale of $10,000 in future carbon removal, we are poised to tap into the growing market for emission reversal technologies. This demand will only increase as corporations seek to meet their net-zero targets.

A recent report suggests the global carbon removal market could reach $100 billion annually by 2035. 

Read more here:
https://www.oliverwyman.com/media-center/2024/jun/global-carbon-dioxide-removal-market-could-reach-dollar-100-billion-between-2030-35-with-targeted-interventions.html  

Companies are seeking carbon removal solutions that are durable, accurate, and scalable to meet their net-zero goals in 5- to 10-year timeframes. Pull To Refresh is well-positioned to develop the necessary technology to meet this demand but we need great people to join us in this journey to make it a reality. 

If you are brave, bold, and skilled or offer resources that can further this vision please get in touch.",491,1,,7/31/2024,Found
RunningTide,runningtide,https://www.linkedin.com/company/runningtide,,,Not found,Running Tide,runningtide,http://www.runningtide.com,https://www.linkedin.com/company/runningtide,2017,The global ocean health company.,51-200,28,,US,Maine,Portland,4101,,69456430,"seafood, climateaction, aquaculture",Environmental Services,"Aquaculture, oysters, kelp, seafood, Climate Change, Sustainability, Sequestration, Data Science, Oceanography, Marine Resources, carbon capture",Rebalancing the natural carbon cycle and deacidifying the ocean. ,10534,5,250000 USD,7/11/2023,Found
Seaweed Carbon Solutions,,,,,Not found,,,,,2022,,,,,,,,,,,,,,,,,,,
Seaweed Generation,,,,,Not found,,,,,2021,,,,,,,,,,,,,,,,,,,
Sinkco Labs,sinkco labs,https://www.linkedin.com/company/78415491,Environmental Services,1,Found,Sinkco Labs,sinkco-labs,https://www.sinkcolabs.com/,https://www.linkedin.com/company/sinkco-labs,2019,"Permanent carbon storage in marine sediments, optimized for supply chain decarbonization.",10-Feb,8,,US,,New York City,,,78415491,"sustainability, sinkcolabs, carbonsequestration",Environmental Services,,"Sinkco Labs has developed a biogeomimetic process for carbon removal leveraging marine sediments, an existing carbon sink. The process stabilizes organic carbon permanently in the anoxic layer of marine sediments. Moreover, the process delivers agricultural supply chain decarbonization - a co-benefit and additional revenue stream. Currently operating on stealth.",815,1,,4/1/2022,Found
Springtide Seaweed,"springtide seaweed, llc",https://www.linkedin.com/company/11242099,Fisheries,1,Found,"Springtide Seaweed, LLC",springtide-seaweed-llc,http://www.springtideseaweed.com,https://www.linkedin.com/company/springtide-seaweed-llc,2017,,10-Feb,2,,US,Maine,Gouldsboro,4607,14 Factory Rd,11242099,,Fisheries,,"Growing sustainably raised aquacultured seaweed along with providing nursery services and educational programs. Producer and processor of organic and conventional seaweed ingredients for the food, nutraceutical, and agricultural industries.",206,2,25000 USD,4/10/2018,Found
Phycos,phycosol,https://www.linkedin.com/company/104883279,Environmental Services,0.33,Found,PHYCOSOL,phycosol,http://www.phycosoltech.com,https://www.linkedin.com/company/phycosol,2024,"""Harnessing Nature""",10-Feb,7,,IN,TAMIL NADU,CHENNAI,,,104883279,,Environmental Services,"#CleanTech, #Sustainability, #wastewater treatment, #Carbon sequestration","PhycoSol is at the forefront of wastewater treatment and environmental restoration, utilizing cutting-edge algae-based technology. Our innovative solutions, inspired by nature, tackle contemporary industrial challenges while promoting sustainability. We are dedicated to shaping a greener future with precision-engineered, eco-friendly approaches.",112,,,,Found
Ebb Carbon,ebb carbon,https://www.linkedin.com/company/76595094,Environmental Services,1,Found,Ebb Carbon,ebb-carbon,http://www.ebbcarbon.com,https://www.linkedin.com/company/ebb-carbon,2021,Ebb Carbon removes CO2 from the air by accelerating the ocean’s natural ability to capture and store carbon.,Nov-50,39,,US,CA,South San Francisco,,,76595094,,Environmental Services,"climatetech, carbon capture, carbon offsets, carbon sequestration, climate change, electrochemistry, marine biology, ocean health, carbon removal, marine carbon dioxide removal, ocean alkalinity enhancement, mirth, ocean deacidification","Turning the tide on carbon change. 

Ebb Carbon is pioneering a new carbon removal solution by enhancing the ocean’s natural ability to safely store CO₂. Our electrochemical ocean alkalinity enhancement method has the potential to be one of the largest scale and lowest cost approaches to removing excess CO₂, while reducing ocean acidity.",5834,3,,10/18/2023,Found
Equatic,equatic.tech,https://www.linkedin.com/company/92752518,Climate Technology Product Manufacturing,0.33,Found,Equatic.tech,equatic-tech,https://www.equatic.tech/,https://www.linkedin.com/company/equatic-tech,2019,Enabling the decarbonized economy,Nov-50,12,,US,CA,Santa Monica,90402,502 20th Street Santa Monica,92752518,,Renewable Energy Semiconductor Manufacturing,"Carbon-negative hydrogen, Ocean carbon dioxide removal, Flow-through seawater electrolysis, hydrogen, CDR, Carbon Dioxide Removal, Green hydrogen, CDR credits, SAF, Sustainable Aviation Fuel",Equatic powers the green economy. Our seawater electrolysis couples carbon dioxide removal (CDR) from the atmosphere with the generation of  green hydrogen at the lowest costs.,3738,3,,9/19/2024,Found
Brilliant Planet,brilliant planet,https://www.linkedin.com/company/84075574,Environmental Services,1,Found,Brilliant Planet,brilliantplanet,https://www.brilliantplanet.com,https://www.linkedin.com/company/brilliantplanet,2013,Unlocking nature to permanently remove carbon at gigaton scale ,Nov-50,27,,GB,,Harpenden,AL5 2JQ,"Russell Building, West Common",84075574,"alage, carbonremoval, climatetech",Environmental Services,,"Brilliant Planet is unlocking the power of algae as an affordable method of permanently and quantifiably sequestering carbon at the gigaton scale.  The company’s innovative process enables vast quantities of microalgae to grow in open-air pond-based systems on costal desert land.  This is achieved without using fresh water, by harnessing a natural process that contributes to the health of oceans and air.",10272,4,12000000 USD,4/6/2022,Found
Capture6,capture6,https://www.linkedin.com/company/78472174,Environmental Services,0.33,Found,Capture6,capture6,http://www.capture6.org,https://www.linkedin.com/company/capture6,,Large-scale direct air capture for the net-zero economy,Nov-50,26,,US,California,Berkeley,,,78472174,"carbonremoval, directaircapture, carboncapture",Environmental Services,,"We help businesses, governments, and communities mitigate the risks of climate change through direct air capture. We are the first in market to offer permanent million-ton direct air capture installations  – solutions that are safe, permanent, to benefit people and the planet.",6033,6,27500000 USD,3/11/2025,Found
Cequest,cequest,https://www.linkedin.com/company/71368551,Environmental Services,0.33,Found,Cequest,cequest,http://www.cequest.com.au,https://www.linkedin.com/company/cequest,2021,"Ocean carbon sequestration technology, projects and advisory
(a for-purpose company)",10-Feb,0,61408900128,AU,,Melbourne,,TBC,71368551,"bluecarbon, oceancarbon, carbonoffsetprojects",Environmental Services,"Carbon Advisory Services, Project Management, Carbon Auditing and Assurance, Ocean Carbon Sequestration Technology , Environmental Consulting , Carbon Consulting ","Ocean carbon sequestration technology, projects and carbon advisory services. An Australian for-purpose company developing decarbonisation opportunities.
",21,,,,Found
Cquestr8 LTD,cquestr8 ltd,https://www.linkedin.com/company/71644852,Environmental Services,1,Found,Cquestr8 Ltd,cquestr8-ltd,https://cquestr8.com/,https://www.linkedin.com/company/cquestr8-ltd,2020,"Reactor-based, packaged, scalable. We bring sequestration to your CO2 - biogas/AD, fermentation, industrial. ",10-Feb,3,,GB,,London,,,71644852,"ghg, cquestr8ltd",Environmental Services,,"Fighting climate change with mineral carbonation. Permanent Storage of CO2 converted into carbon neutral materials for construction and industry. Reactor-based, packaged, scalable, high efficiency sequestration using magnesium rich silicates. We bring sequestration to your CO2 - biogas/AD, fermentation, industrial. ",450,1,300000 USD,4/21/2021,Found
LIMENETDAC,,,,,Not found,,,,,,,,,,,,,,,,,,,,,,,,
LOCNESS Project,,,,,Not found,,,,,2024,,,,,,,,,,,,,,,,,,,
PRDD SeaQuester,,,,,Not found,,,,,2023,,,,,,,,,,,,,,,,,,,
Project Vesta,,,,,Not found,,,,,2019,,,,,,,,,,,,,,,,,,,
SeaCURE,geocorail sas,https://www.linkedin.com/company/geocorail-sas,Environmental Services,0.5,Found,Seacure - Geocorail,geocorail-sas,http://www.seacure.fr,https://www.linkedin.com/company/geocorail-sas,2012,Concevoir - Innover - Protéger,Nov-50,16,+33 4.91.77.91.58,FR,,Marseille,13016,4 rue Gaston Castel,10620614,"erosion, greentech, maritime",Environmental Services,,"Seacure lutte contre l'érosion côtière et protège les structures marines grâce à des solutions innovantes.
Nous concevons et mettons en œuvre des solutions personnalisées pour la protection des côtes.
Dans les ports, nous proposons de nouvelles alternatives pour protéger les quais, assurer la protection cathodique des structures ou lutter contre les affouillements.
Nos solutions permettent de créer des structures respectueuses de l'environnement, souvent moins coûteuses que les techniques traditionnelles et réduisant toujours les coûts de maintenance et d'exploitation des structures.
Notre approche innovante, éco-conçue et techniquement très performante est possible car nous utilisons notre procédé breveté : le béton naturel créé in situ, le Geocorail.",2260,1,2000000 USD,12/7/2015,Found
Centre for Climate Repair at Cambridge,,,,,Not found,,,,,2019,,,,,,,,,,,,,,,,,,,
Climate Restoration Technologies,,,,,Not found,,,,,2017,,,,,,,,,,,,,,,,,,,
Iron Salt Aerosol,,,,,Not found,,,,,,,,,,,,,,,,,,,,,,,,
Ecopia,ecopia marine limited,https://www.linkedin.com/company/ecopia-marine-limited,Environmental Services,0.2,Found,Ecopia Marine Limited,ecopia-marine-limited,https://ecopia.world,https://www.linkedin.com/company/ecopia-marine-limited,2021,Ecopia is a simple global solution to the global problem of excess atmospheric CO₂.,10-Feb,4,,GB,,London,,,90521582,"climate, carbonremoval, blueeconomy",Environmental Services,,"ECOPIA (Earth Climate Optimisation Productivity Island Array) is a global
solution to the anthropogenic climate change problem, without the risks of
engineering the environment itself. ECOPIA empowers the natural primary production capacity of the oceans solely through the provision of light. The programme provides a global Nature Based Carbon Management Solution (NBCMS) removing the excess atmospheric CO₂ , de-acidifying the ocean’s waters, creating new sustainable fisheries, and importantly allowing the economies of the world to continue to grow and prosper.",366,,,,Found
Ocean Nourishment Corporation,ocean nourishment corporation mcdr,https://www.linkedin.com/company/2186907,Environmental Services,1,Found,Ocean Nourishment Corporation mCDR,ocean-nourishment-corporation,http://www.oceannourishment.com,https://www.linkedin.com/company/ocean-nourishment-corporation,2004,Ocean Solutions for food and climate security.   Harnessing the oceans to remove legacy carbon dioxide at scale. ,10-Feb,6,,AU,NSW,Sydney,2100,Allambie Heights ,2186907,"climateaction, carbonreduction, oceans",Environmental Services,"Carbon Sequestration, Feasibility Studies, Food Security, CDR Carbon Dioxide Removal","Ocean Nourishment Corporation was established in 2004 to address three major interconnected problems facing the global community namely,

climate change
food shortages 
ocean acidification

Ocean Nourishment technology is capable of drawing large quantities of CO2 directly out of the atmosphere and buying time for a transition to a low carbon future.",286,,,,Found
Whale X Ocean nourshment deep sea carbon export,,,,,Not found,,,,,2022,,,,,,,,,,,,,,,,,,,
Arktide,arktide,https://www.linkedin.com/company/80409834,Maritime Transportation,1,Found,Arktide,arktide,http://www.arktide.org,https://www.linkedin.com/company/arktide,2020,"We are focused on the development of water communities with sustainable energy, fresh water, clean air, and food.",10-Feb,5,,US,Florida,Panama City,,,80409834,"oceanscience, aquaculture, seasteading","Transportation, Logistics, Supply Chain and Storage",,"Sustainable Modular House Boats
The ocean is our future and we are building the path to it.
Reserve your Coquina tiny home below!",200,,,,Found
Arbon Earth,arbon earth ab,https://www.linkedin.com/company/87115872,Environmental Services,1,Found,Arbon Earth AB,arbon-earth,https://arbon.earth,https://www.linkedin.com/company/arbon-earth,2021,Resetting Climate Change with Carbon Capture and Storage! Carbon Removal with low-emission methods. Join us! 💚 ,10-Feb,4,702191483,,,,,,87115872,,Environmental Services,,"We help our Customers boost their sustainability agenda by removing carbon dioxide from the atmosphere. The OceanPod by Arbon Earth uses fast-growing bamboo and macroalgae placed far out in the oceans, to absorb CO2, which then sinks to the seabed for permanent storage. 

Simple, cost-effective, and vital for a healthy planet. Plus, they nurture marine life, offering a win-win for ecosystems. We also provide export income to coastal societies and build knowledge about the sea and the seafloor. 3rd party certified by Oncra. 

Arbon Earth is led by Magnus Willner and Carl Lindberg. 
Follow us on LinkedIn to keep up with the latest news or find inspiration from our current projects. ",292,,,,Found
Black Pellets,,,,,Not found,,,,,,,,,,,,,,,,,,,,,,,,
BlueGreens Net blue,,,,,Not found,,,,,2014,,,,,,,,,,,,,,,,,,,
Climate Cleanup Sargassum Cleanup,,,,,Not found,,,,,2020,,,,,,,,,,,,,,,,,,,
Foods2GTons Aquatic Foods to giga tons,,,,,Not found,,,,,,,,,,,,,,,,,,,,,,,,
Forest waste in fjords,,,,,Not found,,,,,,,,,,,,,,,,,,,,,,,,
DecarbonIce,decarbonice,https://www.linkedin.com/company/101213249,Services for Renewable Energy,0.33,Found,DecarbonICE,decarbon-ice,https://www.decarbonice.org,https://www.linkedin.com/company/decarbon-ice,2023,"Transporting CO2 - simple, scalable and safe",10-Feb,9,,DK,,København N,2200,Bragesgade 10B st.,101213249,,IT Services and IT Consulting,,,109,,,,Found
Adrift Carbon Solutions,,,,,Not found,,,,,2021,,,,,,,,,,,,,,,,,,,
Dog of Elon 5697,,,,,Not found,,,,,2021,,,,,,,,,,,,,,,,,,,
blueCarbon,bluecarbonlab,https://www.linkedin.com/company/18663957,Research Services,0.17,Found,BlueCarbonLab,bluecarbonlab,http://www.bluecarbonlab.org/,https://www.linkedin.com/company/bluecarbonlab,2021,Australian research lab using #BlueCarbon and #TealCarbon to restore the world's thermostat,Nov-50,14,,AU,Victoria,Melbourne,,221 Burwood Hwy,18663957,"bluecarbonlab, wetland, bluecarbon",Research Services,"Quantifying & mapping the distribution of blue carbon, Feasibility assessments for prospective blue carbon offset initiatives, Identifying threats (sea level rise, coastal developments) to blue carbon ecosystems, Restoration, conservation, and improved management of wetlands, Citizen Science programs in AU and NZ wetlands, TeaComposition H2O global wetland decomposition initiative","
The Blue Carbon Lab offers innovative research solutions for helping to mitigate climate change and improve natural capital, while also contributing to jobs, economic growth, capacity building and community wellbeing.

Learn more about our work > http://www.bluecarbonlab.org/  
",8863,,,,Found
Carbon Kapture,carbon kapture,https://www.linkedin.com/company/68477972,Environmental Services,1,Found,Carbon Kapture,carbon-kapture,https://carbonkapture.com/,https://www.linkedin.com/company/carbon-kapture,2020,We are fighting climate change and will have 1 million metres of seaweed ropes in the water by the end of 2024,10-Feb,5,,GB,32 West Street,,BH15 1LD,32 West Street,68477972,carbonkapture,Environmental Services,,"Carbon Kapture’s unique business model is designed to rapidly and permanently remove excess carbon dioxide from our seas and oceans. By building a global network of kelp (seaweed) farms that remove excess CO₂ from our oceans, our innovative solution will help prevent irreversible damage to our planet and protect biodiversity in the new blue economy. We aim to provide a simple, fast-acting and direct way to make a demonstrable difference in the pursuit of net zero emissions. Join us in this exciting nature-based adventure.

Local community is very important to us, so each one of our farms is created with that in mind. It’s called a circular economy, and we will work with communities to integrate our farms to create these new circular economies – an approach to raw materials (in this case), where everything has value, nothing is wasted, and the environment benefits. For example, we grow seaweed to extract excess CO₂. The seaweed is then turned into biochar, which can be given to local farmers to improve soil quality, or even used to create low-carbon cement and made into the anchors securing our seaweed ropes. We work with local communities to identify opportunities to create a circular economy.

Carbon Kapture offers a real carbon solution and it is available now ",3283,,,,Found
South Pacific Marine Park,,,,,Not found,,,,,2019,,,,,,,,,,,,,,,,,,,
Sunken Seaweed,,,,,Not found,,,,,2017,,,,,,,,,,,,,,,,,,,
The Seaquester Project,the seaquester project,https://www.linkedin.com/company/101525928,Environmental Services,1,Found,The Seaquester Project,the-seaquester-project,http://www.theseaquesterproject.com,https://www.linkedin.com/company/the-seaquester-project,2021,"From the Ocean, for the Ocean",10-Feb,0,3.5191E+11,PT,,Lisbon,,,101525928,,Environmental Services,"algae, carbon sequestration, educational programmes, circularity, bioremediation, consultancy","The Seaquester Project is an innovative environmental project that will plant macro algae and, by verifying the carbon sequester metric of those algae, will contribute for a determined region or institution to be closer to reach carbon neutrality, whilst also restoring its marine ecosystems
",66,,,,Found
Trofx,trofx,https://www.linkedin.com/company/89793102,Farming,1,Found,TROFX,trofx,http://trofx.tech,https://www.linkedin.com/company/trofx,2023,"A project to design and engineer offshore seaweed farms for future food, fuel, and climate solutions.",10-Feb,0,,,,,,,89793102,,Farming,,"Team members:
Umaro Foods, Otherlab, University of New Hampshire, Kelson Marine, Stationkeep",29,,,,Found
Atmospherica,atmospherica,https://www.linkedin.com/company/105637097,Engineering Services,0.5,Found,Atmospherica,atmospherica-org,https://www.atmospherica.org,https://www.linkedin.com/company/atmospherica-org,2022,ATMOSPHERICA has pioneered weather program solutions designed to address disaster avoidance & risk reduction challenges,10-Feb,0,,,,,,,105637097,,IT Services and IT Consulting,,,2,,,,Found
CO2SAAS,co2saas,https://www.linkedin.com/company/76140300,Biotechnology,1,Found,CO2SaaS,co2saas,https://www.co2saas.com/,https://www.linkedin.com/company/co2saas,2021,Fighting global warming one pond at a time.,10-Feb,0,,,,,,,76140300,,Biotechnology Research,,,38,,,,Found
Dut ocean biosequestration,,,,,Not found,,,,,,,,,,,,,,,,,,,,,,,,
Brineworks,brineworks,https://www.linkedin.com/company/91482062,Environmental Services,1,Found,Brineworks,brineworks,http://www.brineworks.tech/,https://www.linkedin.com/company/brineworks,2023,Unlocking green fuels from seawater. Building the world's leading seawater electrolyzer.,10-Feb,11,,NL,North Holland,Amsterdam,1098 XH,Science Park 301,91482062,,Environmental Services,,"Brineworks is building a highly efficient, patent-pending seawater electrolyzer. This invention enables the low-cost extraction of CO2 through Direct Ocean Capture, along with the significant co-production of H2, the two building blocks of e-fuels. Our mission is to help rapidly decarbonize sectors like aviation and maritime by harnessing the power of cutting-edge electrochemistry.",1982,2,,2/19/2025,Found
Carbodiner,,,,,Not found,,,,,,,,,,,,,,,,,,,,,,,,
