,Company,City/Region,Country,Lat,Long,Type,Source,Status,,
31,Butterfly,Manila,Philippines,14.599512,120.984222,Seaweed Farming,X-Prize,Exploring,,
32,C14,Philadelphia,USA,39.952583,-75.165222,Biomass sinking,X-Prize,Exploring,,
33,Carboniferous,New Hope,USA,40.364273,-74.951279,Biomass sinking,X-Prize,Exploring,,
34,Carboxy,Hyderabad,India,17.38714,78.491684,Microalgue farming,X-Prize,Exploring,,
35,Caspianstar,Atyrau,Kazakhstan,47.105045,51.924622,Seaweed Farming,X-Prize,Exploring,,
36,Cequest ocean carbon,Melbourne,Australia,-37.840935,144.946457,Algue Farming,X-Prize,Exploring,,
37,CO22Clean,Atlanta,USA,33.753746,-84.38633,NA,X-Prize,Exploring,,
38,Cquestr8 LTD,London,UK,52.509865,-0.118092,Ocean alkalinity enhancement,X-Prize,Exploring,,
39,Dog of Elon 5697,Richfield,USA,44.883244,-93.28624,Electrochemical weathering,X-Prize,Exploring,,
40,Dut ocean bio-sequestration,Dalian,China,38.920834,121.639168,Microalgue farming,X-Prize,Exploring,,
41,EMID,Wassenaar,Netherlands,52.14291,4.401213,Artifical Upwelling,X-Prize,Exploring,,
42,Fearless Carbon,Washington,USA,47.608013,-122.33516,Seaweed Farming,X-Prize,Exploring,,
43,First Gigaton,Nanaimo,Canada,49.165882,-123.940063,Macroalgue Farming,X-Prize,Exploring,,
44,Foods2GTons (Aquatic Foods to giga tons),Oxnard,USA,34.196411,-119.170898,NA,X-Prize,Exploring,,
45,Innonep ocean,Seoul,South Korea,37.5326,127.024612,Algue Farming,X-Prize,Exploring,,
46,Kelp Blue,Zeist,Netherlands,52.090601,5.233253,Algue Farming,X-Prize,Exploring,,
47,Kepler carbon recapture team,Austin,USA,30.266666,-97.73333,NA,X-Prize,Exploring,,
48,Life savers,Hyderabad,India,17.38714,78.491684,NA,X-Prize,Exploring,,
49,Monash carbon capture and conversion (Biotech),Melbourne,Australia,-36.840935,144.946457,Algue Farming,X-Prize,Exploring,,
50,Ocean lung,Oakville,Canada,43.467445,-79.687754,Ocean fertilization,X-Prize,Exploring,,
51,Oceanica,Surat,India,21.192572,72.799736,Ocean fertilization,X-Prize,Exploring,,
52,Oceans 2050 seaweed carbon farming,Berlin,Germany,52.520008,13.404954,Seaweed Farming,X-Prize,Exploring,,
53,Pull to refresh,Lucerne,USA,36.38083,-119.66333,Macroalgue Farming,X-Prize,Exploring,,
54,Qilibrium,Melbourne,Australia,-35.840935,144.946457,NA,X-Prize,Exploring,,
55,Rcarbon,Austin,USA,30.269501,-97.715942,NA,X-Prize,Exploring,,
56,Seafields,London,UK,53.509865,-0.118092,Algue Farming,X-Prize,Exploring,,
57,Seaplanta,Jeonju,South Korea,35.824224,127.147953,NA,X-Prize,Exploring,,
58,Skyology,Bend,USA,44.058174,-121.315308,Coral Reef Restoration,X-Prize,Exploring,,
,,,,,,,,,,
,,,,,,,,,,
